Title,Grant Amount,Grant Term Start,Grant Term End,Description,Initiative,Grant Status,Grantee Address
Niskanen Center 2021,1500000.0,2021-12-01,2024-12-31,"toward the costs of efforts to advance the economic security of low-income households, promote social, racial, and economic justice, and jump-start renewed economic development in struggling regions.",U.S. Economic Opportunity,Unknown,"820 First Street, NE #675, Washington, DC 20002, United States of America"
Maryland Philanthropy Network 2021,200000.0,2021-12-01,2024-12-31,"for use by its Revolve Fund, toward the costs of a philanthropic initiative that will provide interest-free capital to Black, Latinx, and Indigenous-owned businesses and non-profit organizations in Baltimore, MD",U.S. Economic Opportunity,Unknown,"1600 W 41st Street,, Suite 700, Baltimore, MD 21211, United States of America"
"9to5, National Association of Working Women 2021",500000.0,2021-12-01,2022-11-30,"in general support of its mission to build the capacity of countless women to achieve workplace equity and stronger family supports through policy advocacy, civic engagement and grassroots organizing",U.S. Economic Opportunity,Unknown,"231 West Wisconsin Avenue, Suite 900, Milwaukee, WI 53203-2308, United States of America"
Economic Policy Institute 2021,4000000.0,2021-12-01,2025-11-30,toward the costs of strengthening the capacity of Economic Analysis and Research Network (EARN) groups in key states to advance a compelling worker-centered agenda rooted in racial and gender equity.,U.S. Economic Opportunity,Unknown,"1333 H Street, NW, Suite 300, East Tower, Washington, DC 20005, United States of America"
Wageningen University &amp; Research 2021,200026.0,2021-12-01,2023-08-31,in support of creating a global map of the world's foods that integrates key nutritional information from the Dietary Quality Questionnaire and makes accessible the food chemistry data generated by The Periodic Table of Food.,Food Initiative,Unknown,"PO Box 9101, Wageningen,  6700 HB, Netherlands"
The New School 2021,500000.0,2021-12-01,2023-11-30,"in support of its Institute on Race and Political Economy toward the costs of core operations, with a particular focus on advancing research, communications, and leadership development activities in applied scholarship related to economic equity.",U.S. Economic Opportunity,Unknown,"79 Fifth Avenue, 17th floor, New York, NY 10003, United States of America"
State Innovation Exchange 2021,3000000.0,2021-12-01,2024-11-30,in support of improving vulnerable people's lives by informing state legislators of the impact of tax and other public policies,U.S. Economic Opportunity,Unknown,"P.O. Box 260230, Madison, WI 53726, United States of America"
Duke University 2021,500000.0,2021-12-01,2023-05-31,"for use by its Robert J. Margolis, MD, Center for Health Policy, in support of the COVID Global Accountability Platform to track, analyze, and provide recommendations around global commitments to ending the COVID-19 pandemic",Health Initiative,Unknown,"Office of Research Support, 2200 W. Main Street, Suite 710, Durham, NC 27705, United States of America"
Missouri Jobs with Justice 2021,500000.0,2021-12-01,2023-11-30,"in general support of its mission to organize Missourians to build transformative power for social, racial and economic justice.",U.S. Economic Opportunity,Unknown,"2725 Clifton Ave, St. Louis, MO 63139, United States of America"
Mahidol University 2021,499692.0,2021-12-01,2025-05-31,in support of building capacity for standardized measurement of diet quality in population surveys in low- and middle-income countries.,Food Initiative,Unknown,"999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom,  73170, Thailand"
Chicago Food Policy Action Council 2021,2000000.0,2021-12-01,2025-09-30,in support of implementing Chicago's three-year strategic plan to create a healthy and racially equitable food system.,Food Initiative,Unknown,"1 N State Street, #1500, Chicago, IL 60602, United States of America"
Missouri Budget Project 2021,900000.0,2021-12-01,2024-11-30,"in general support of its mission to improve the quality of life for all Missourians by informing public policy decisions through objective research and analysis of state budget, tax and economic issues",U.S. Economic Opportunity,Unknown,"1 Campbell Plaza, Suite 101 - Building A, St. Louis, MO 63139, United States of America"
Black BRAND 2021,750000.0,2021-12-01,2025-09-30,"in support of efforts to stabilize and strengthen underserved populations businesses in Norfolk, VA, through strategic, organizational and financial planning ",U.S. Economic Opportunity,Unknown,"66 Elm Avenue, Portsmouth, VA 23704, United States of America"
Hope Enterprise Corporation 2021,750000.0,2021-12-01,2024-11-30,"toward the costs of piloting a diversity collaborative to grow and support businesses led by people of color in Jackson, MS.",U.S. Economic Opportunity,Unknown,"4 Old River Place, Jackson, MS 39202, United States of America"
Oxygen Hub Ltd 2021,1000000.0,2021-11-01,2028-10-31,toward the costs of leveraging a franchise model to localize production and distribution of oxygen in Sub-Saharan Africa,Africa Regional Office,Unknown,"7A Mayer St, Port Louis,, Mauritius"
International Finance Corporation 2021,25000000.0,2021-11-01,2046-10-31,in support of creating a blended finance facility focused on scaling distributed renewable energy initiatives that expand energy access and reduce greenhouse gas emissions,GEAPP,Unknown,"2121 Pennsylvania Avenue, NW, Washington, DC 20433, United States of America"
United for Respect Education Fund 2021,250000.0,2021-11-01,2023-10-31,"toward the costs of the Always Essential Coalition to ensure low-wage workers, many of whom were deemed essential during the pandemic, are permanently valued and continue to work in dignity <br />
",U.S. Economic Opportunity,Unknown,"77 Sands Street, Brooklyn, NY 11201, United States of America"
International Finance Corporation 2021,5000000.0,2021-11-01,2026-12-31,in support of creating a trust fund focused on upstream infrastructure project development for distributed renewable energy projects that expand energy access and reduce greenhouse gas emissions,GEAPP,Unknown,"2121 Pennsylvania Avenue, NW, Washington, DC 20433, United States of America"
Inter-American Development Bank 2021,25000000.0,2021-11-01,2026-11-30,in support of creating a regional facility to support the direct renewable energy sector to combat the climate crisis in Latin America and the Caribbean,GEAPP,Unknown,"1300 New York Avenue, NW, Washington, DC 20577, United States of America"
Access to Capital for Entrepreneurs 2021,1000000.0,2021-11-01,2027-12-31,"in support of providing diverse and flexible lending solutions and educational resources to historically disadvantaged small business owners in Atlanta, GA",U.S. Economic Opportunity,Unknown,"3173 Highway 129N, Cleveland, GA 30528, United States of America"
Dalberg Catalyst 2021,1000000.0,2021-11-01,2023-08-31,in support of designing and administering the “Uncommon Collaboration” fund to support collaborations between experts advancing projects emerging from convenings and other network channels that seek creative solutions to complex challenges the world faces today,Convenings & Networks,Unknown,"1401 K Street NW, #900, Washington, DC 20005, United States of America"
International Centre of Insect Physiology and Ecology 2021,500000.0,2021-11-01,2025-04-30,in support of scaling up the insect-based feed industry in an effort to contribute to a more sustainable and equitable supply of animal-sourced proteins in East Africa,Food Initiative,Unknown,"Duduville, Kasarani, P.O. Box  30772, Nairobi,  00100, Kenya"
Institute for Local Self-Reliance 2021,1000000.0,2021-11-01,2023-10-31,toward the costs of facilitating the 30 Million Solar Home Coalition to advance economic opportunity through climate and energy policy focused on distributed solar power ,U.S. Economic Opportunity,Unknown,"1200 18th St, NW, Suite 700, Washington, DC 20036, United States of America"
National Center for Civic Innovation 2021,120000.0,2021-11-01,2022-11-30,for use by The GovLab in support of its InnovateUS project to catalyze multi-state innovation and action toward strengthening the capacity of the public sector to better address shared challenges related to public digital infrastructure.,Innovation,Unknown,"121 Avenue of the Americas, 6th Floor, New York, NY 10013, United States of America"
"The Intrinsic Exchange Group, Inc. 2021",1000000.0,2021-11-01,2022-10-31,toward the costs of developing a natural asset company model for protecting the environment through public ownership,Innovative Finance,Unknown,"548 Market Street, Suite 19660, San Francisco, CA 94104, United States of America"
Purdue University 2021,409012.0,2021-11-01,2022-08-31,Towards the cost of  supporting advancement in the design and availability of processing technologies for nutritious foods,Food Initiative,Unknown,"403 West State Street, West Lafayette, IN 47907, United States of America"
FoodShot Global 2021,200000.0,2021-11-01,2022-10-31,"Toward the costs of the Groundbreaker prize, to elevate Food is Medicine breakthroughs that can improve nutrition globally",Food Initiative,Unknown,"104 West 123rd Street, Apt 3, New York, NY 10027, United States of America"
Reinvestment Partners 2021,150000.0,2021-11-01,2022-10-31,In support of expanding produce prescription programs to low-income households in North Carolina,Food Initiative,Unknown,"110 E Geer St, Durham, NC 27701, United States of America"
CARE 2021,300000.0,2021-11-01,2024-06-30,"in support of creating a gender-focused artist residency for up to 9 artists at the Bellagio Center, including support for post-residency dialogues and public action",Convenings & Networks,Unknown,"151 Ellis Street NE, Atlanta, GA 30303-2440, United States of America"
Emory University 2021,250000.0,2021-11-01,2023-06-30,"in support of establishing a wastewater surveillance program in Accra, Ghana to guide the public health response to COVID-19",Pandemic Prevention Institute,Unknown,"1518 Clifton Road, NE, Atlanta, GA 30322, United States of America"
International Development Research Centre 2021,5200000.0,2021-11-01,2027-09-30,"toward the costs of supporting African Governments with data, policy analysis and multi stakeholder dialogue to inform integrated, transformative food system policies",Food Initiative,Unknown,"45 O'Connor Street,, Ottawa, ON K1P 1A4, Canada"
World Food Programme 2021,3300000.0,2021-11-01,2025-04-30,In support of  scaling up fortified whole meal and other nutritious foods in school feeding programs in Africa,Food Initiative,Unknown,"Via Cesare Giulio Viola 68, Parco dei Medici, Rome, Rome 00148, Italy"
Paris Peace Forum 2021,352000.0,2021-11-01,2022-12-31,in support of the Paris Peace Forum's governance platform,Strategic Opportunities Fund,Unknown,"164 Rue de Vaugirard, Paris, France 75015, France"
Prosperity Now 2021,750000.0,2021-11-01,2024-10-31,in support of outreach to underserved and vulnerable populations in order to increase their access to critical tax credits that promote racial economic justice,U.S. Economic Opportunity,Unknown,"1200 G St NW, Suite 400, Washington, DC 20005, United States of America"
Fonkoze Foundation 2021,1000000.0,2021-11-01,2023-12-31,in support of efforts to further the usage of electricity within a select number of mini-grids in Haiti by helping users establish electricity-based businesses that increase both consumption and income,GEAPP,Unknown,"119, Ave Christophe, Port-au-Prince,, Haiti"
Meridian Institute 2021,298303.0,2021-11-01,2022-10-31,"in support of developing clear and standardized methods for sharing Digital Sequencing Information from plant and genetic resources, especially as it pertains to The Periodic Table of Food Initiative and The Microbiota Vault",Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
Espacios Abiertos Puerto Rico Inc. 2021,500000.0,2021-11-01,2022-10-31,"in general support of its mission to create and strengthen mechanisms for civic participation so that people in Puerto Rico can directly and effectively influence the island’s social, political, and economic processes",U.S. Economic Opportunity,Unknown,"867 Ave. Muñoz Rivera, Suite D 101, San Juan, Puerto Rico 00925, United States of America"
Aqua Spark 2021,1015000.0,2021-11-01,2025-12-31,Towards the cost of supporting a technical assistance facility to support  sustainable production of aquaculture,Food Initiative,Unknown,"Acter St Pieter 5, Utrecht,  3512HP, Netherlands"
Code for Science &amp; Society 2021,199369.0,2021-11-01,2023-03-31,"for use by its project the Distributed Artificial Intelligence Research Institute, toward the costs of developing a new AI research center focused in leveraging AI for the benefit of marginalized communities.",Data Science,Unknown,"3439 SE Hawthorne Blvd, #247, Portland, OR 97214-5048, United States of America"
Black in AI 2021,300000.0,2021-11-01,2023-10-31,toward the costs of developing programmatic work that elevates world class talent in marginalized communities and instills equity in the field of artificial intelligence.,Data Science,Unknown,"PO Box 8786, Champaign, IL 61826, United States of America"
Shortlist Professionals LTD 2021,2200000.0,2021-11-01,2023-11-30,in support of efforts to place women in roles across the decentralized renewable energy value chain by developing a public good pipeline of talent and influencing other funders and employers to increase female employment,GEAPP,Unknown,"5th Floor, Ebene Esplanade, 24 Cyber City, Ebene,, Mauritius"
Economic Security Project 2021,2000000.0,2021-11-01,2024-10-31,toward the costs of promoting long-term economic opportunity and improved access to benefits for low- and middle-income Americans,U.S. Economic Opportunity,Unknown,"228 Park Ave S, PMB 32482, New York, NY 10003-1502, United States of America"
Tides Foundation 2021,100000.0,2021-11-01,2022-05-31,for use by its AAPI Progress Education Fund in support of conducting a survey of Asian American and Pacific Islander communities to inform the AAPI Victory Alliance Think Tank’s efforts to combat violence and misinformation,Strategic Opportunities Fund,Unknown,"1014 Torney Ave, San Francisco, CA 94129, United States of America"
Topos Research Partnership LLC 2021,2500000.0,2021-11-01,2026-10-31,"toward the costs of developing narratives that will benefit advocates, policy experts and strategists who are working to advance proworker tax policies that support racial, gender, and economic equity",U.S. Economic Opportunity,Unknown,"1865 Broad Street, Providence, RI 02905, United States of America"
Chicago Community Trust 2021,500000.0,2021-11-01,2024-08-31,"in support of developing operating procedures and programmatic implementation for its Fund for Equitable Business Growth in order to provide coordinated, accessible, and responsive business development services for entrepreneurs of color in Chicago",U.S. Economic Opportunity,Unknown,"225 North Michigan Avenue, Suite 2200, Chicago, IL 60601, United States of America"
Center for US Global Leadership 2021,750000.0,2021-11-01,2024-06-30,"in general support of its mission to build support among policymakers, influencers, and opinion leaders for U.S. global leadership by educating and amplifying how investments in diplomacy, development and global health matter to America’s health, security, and economic interests",Policy,Unknown,"1120 19th Street NW, Suite 300, Washington, DC 20036, United States of America"
The King Center 2021,300000.0,2021-11-01,2024-06-30,toward the costs of efforts to digitize and preserve materials from the King Library and Archives in order to make them available to researchers and the general public,Strategic Opportunities Fund,Unknown,"449 Auburn Ave NE, Atlanta, GA 30312, United States of America"
Partnership for Public Service 2021,250000.0,2021-11-01,2022-10-31,in general support of its mission to revitalize the federal government by transforming the way government works and inspiring a new generation to serve ,Strategic Opportunities Fund,Unknown,"1100 New York Avenue NW, Suite 1090 East, Washington, DC 20005, United States of America"
Blue Forest Conservation 2021,1000000.0,2021-11-01,2023-12-31,in support of efforts to build capacity and launch an innovative financial solution to catalyze forest management on National Forest System lands,Innovative Finance,Unknown,"202 Ripley Street, San Francisco, CA 94110, United States of America"
"Centre For Public Impact North America, Inc 2021",300000.0,2021-11-01,2022-03-31,In support of establishing a community of practice across D.C. schools to support testing.,Health Initiative,Unknown,"655 15th St NW, Suite 800, Washington, DC 20005, United States of America"
Sustainable Energy for All 2021,2497220.0,2021-11-01,2023-12-31,"toward the costs of creating an enabling environment to increase electrification of communities and social services that unlocks further investment in clean, renewable energy in Sierra Leone",GEAPP,Unknown,"Andromeda Tower 15th Floor, Donau City Strasse 6, Vienna,  1220, Austria"
Power for All 2021,950525.0,2021-11-01,2022-10-31,"in support of efforts to catalyze research and evidence creation to help identify the fastest, most affordable and clean approaches to providing energy access for all ",GEAPP,Unknown,"1012 Torney Ave, Tides Coworking c/o Power for All, San Francisco, CA 94129, United States of America"
"Good Machine, LLC 2021",3510023.0,2021-11-01,2029-10-31,in support of launching a tech incubator focused on developing agricultural productive use innovations that improve socioeconomic conditions in developing countries,GEAPP,Unknown,"2180 Folsom Street, San Francisco, CA 94110, United States of America"
Rocky Mountain Institute/RMI 2021,5000000.0,2021-11-01,2024-10-31,in support of implementing a large-scale demand and enterprise development intervention in Nigeria to allow rural community members to fully realize the benefits of electrification,GEAPP,Unknown,"2490 Junction Place, Suite 200, Boulder, CO 80301, United States of America"
Netherlands Development Organization 2021,5000000.0,2021-11-01,2023-10-31,in support of facilitating agriculture-driven mini-grids for increased productivity and energy access in Ethiopia,GEAPP,Unknown,"Parkstraat 83, The Hague,  2514 JG, Netherlands"
Rocky Mountain Institute/RMI 2021,775000.0,2021-11-01,2022-06-30,toward the costs of facilitating a responsive and active collaboration with public authorities to unlock and accelerate community-centric and locally-owned energy projects that support community resilience with distributed renewable energy,GEAPP,Unknown,"2490 Junction Place, Suite 200, Boulder, CO 80301, United States of America"
Meridian Institute 2021,349635.0,2021-11-01,2022-12-31,in support of implementing transformative solutions generated through The Food Systems Game Changers Lab that lead to meaningful food systems change globally.,Food Initiative,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
New Venture Fund 2021,2595720.0,2021-11-01,2023-12-31,"for use by its project data.org, in support of building the field of data science for social impact and improving gender diversity of the data science work force through the Capacity Accelerator Network",Data Science,Unknown,"1828 L Street NW, Suite 300A, Washington, DC 20036, United States of America"
Oxford Policy Fellowship 2021,395000.0,2021-11-01,2023-10-31,"in support of a fellowship program that provides legal support to Ministries of Energy, Finance and Agriculture in Malawi and Sierra Leone in order to strengthen governance and public policy capacity",Africa Regional Office,Unknown,"Level 3 52 Cornmarket Street, Oxford,  OX1 3HJ, England"
Nobel Prize Education Fund 2021,750000.0,2021-11-01,2024-01-01,"toward the costs of efforts to develop, assess and disseminate a curriculum for high school students on scientific-style critical thinking in order to augment problem solving skills that can be applied to making decisions in everyday lives",CPA Central Office,Unknown,"c/o K&L Gates, 1601 K Street NW, Washington, DC 20006, United States of America"
Code for America 2021,2000000.0,2021-11-01,2023-10-31,toward the costs of educating policymakers and government agencies to inform policy solutions that are equitable and produce measurably better outcomes for low and no-income families.,U.S. Economic Opportunity,Unknown,"972 Mission Street, 5th Floor, San Francisco, CA 94103, United States of America"
Global Impact Investing Network 2021,65000.0,2021-10-31,2021-12-31,toward the costs of enabling a coordinated campaign to test and socialize solutions for a more inclusive and sustainable capitalism,Innovation,Unknown,"One Battery Park Plaza, Suite 202, New York, NY 10004, United States of America"
Stone Barns Center for Food and Agriculture 2021,75000.0,2021-10-31,2021-12-31,"toward the costs of launching the “Community Education Wednesdays” initiative designed to explore the intersection of food and agriculture and inspire innovative, community-based solutions that directly impact environmental sustainability, food access and human wellbeing",Convenings & Networks,Unknown,"630 Bedford Road, Pocantico Hills, NY 10591, United States of America"
State Revenue Alliance 2021,3000000.0,2021-10-18,2023-10-31,"toward the costs of organizing state-based revenue campaigns that bring together policy, labor and grassroots movements in order to change how communities are resourced through state and local budget processes",U.S. Economic Opportunity,Unknown,"425 Cherry Street, Kent, OH 44240, United States of America"
Public Private Strategies Institute 2021,3000000.0,2021-10-15,2024-12-31,in support of creating a philanthropic fund to support religious entities promote specific economic policies that benefit working people at the state and federal levels,U.S. Economic Opportunity,Unknown,"700 Pennsylvania Ave SE, 2nd Floor, Washington, DC 20003, United States of America"
Co-Impact 2021,25000000.0,2021-10-01,2028-12-31,"for use by Co-Impact, a global collaborative for systems change, toward the costs of the Gender Fund to transform health, education, and economic systems to ensure gender equitable and inclusive outcomes which allow all people to live fulfilling lives",Strategic Opportunities Fund,Unknown,"420 Fifth Avenue, New York, NY 10018, United States of America"
Power for All 2021,160000.0,2021-10-01,2022-07-31,"in support of an effort to quantify the importance of decentralized renewable energy jobs for local economies by collecting and analyzing data that will drive employment-related decisions for the sector in Kenya, Nigeria, India, Ethiopia, and Uganda",Power and Climate,Unknown,"1012 Torney Ave, Tides Coworking c/o Power for All, San Francisco, CA 94129, United States of America"
Stanford University 2021,109659.0,2021-10-01,2023-09-30,for use by its Institute for Human-Centered AI in support of developing a competition to create third-party auditing systems that can be used to understand the potential harm of new AI tools and better inform technology regulatory policy.,New Frontiers,Unknown,"450 Serra Mall, Stanford, CA 94305-2004, United States of America"
Rockefeller Archive Center 2021,249978.0,2021-10-01,2022-12-31,"in support of producing structured datasets from analog, textual records to demonstrate new understandings about the Foundation’s practice and scalable impact",New Frontiers,Unknown,"15 Dayton Avenue, Sleepy Hollow, NY 10591, United States of America"
Health Care Without Harm 2021,507324.0,2021-10-01,2023-09-30,"in support of efforts to deliver a unified, values-based food procurement standard for adoption by institutions, cities, states, and the federal government including commitments to good food purchasing and practices from the Veterans Health Administration to advance a broader federal strategy.",Food Initiative,Unknown,"12110 Sunset Hills Rd, Suite 600, Reston, VA 20190, United States of America"
Results for Development 2021,315000.0,2021-10-01,2023-12-31,In support of the maintenance of a network of innovation leaders from global development agencies.,Convenings & Networks,Unknown,"1111 19th Street, NW, Suite 700, Washington, DC 20036, United States of America"
Brookings Institution 2021,450000.0,2021-10-01,2023-09-30,"for use by its Center for Sustainable Development in support of developing economic framings for “green growth”, tailored for the unique needs of developing countries.",New Frontiers,Unknown,"1775 Massachusetts Avenue, NW, Washington, DC 20036-2188, United States of America"
University College London 2021,1000000.0,2021-10-01,2024-12-31,for use by its Institute for Innovation and Public Purpose in support of the Mission-Oriented Innovation Network’s efforts to foster cross-sectoral solutions to global challenges by establishing a green transitions policy lab in South Africa.,New Frontiers,Unknown,"Gower Street, London,  WC1E 6BT, England"
Emory University 2021,268000.0,2021-10-01,2024-01-01,"in support of expanding wastewater surveillance activities in Dhaka, Bangladesh to guide public health response measures",Pandemic Prevention Institute,Unknown,"1518 Clifton Road, NE, Atlanta, GA 30322, United States of America"
Emory University 2021,250000.0,2021-10-01,2023-08-31,"for use by its Center for Global Safe Water, Sanitation and Hygiene in support of translating wastewater data to support the public health response in vulnerable communities in Atlanta.",Pandemic Prevention Institute,Unknown,"1518 Clifton Road, NE, Atlanta, GA 30322, United States of America"
Emory University 2021,500000.0,2021-10-01,2024-01-01,"in support of establishing a wastewater surveillance program in Cox’s Bazar, Bangladesh, to inform pandemic responses and to learn strategies for surveillance that can serve other humanitarian settings.",Pandemic Prevention Institute,Unknown,"1518 Clifton Road, NE, Atlanta, GA 30322, United States of America"
Youth Era 2021,100000.0,2021-10-01,2023-01-31,toward the costs of creating a scalable tech-enabled matching platform for peer to peer mental health support.,Convenings & Networks,Unknown,"PO Box 583, Eugene, OR 97440, United States of America"
Brookings Institution 2021,4000000.0,2021-10-01,2025-08-31,In support of the annual ’17 Rooms’ process including events and research focused on advancing the Sustainable Development Goals.,Convenings & Networks,Unknown,"1775 Massachusetts Avenue, NW, Washington, DC 20036-2188, United States of America"
Driver&#8217;s Seat Cooperative 2021,225000.0,2021-10-01,2022-12-31,toward the costs of developing data tools that allow gig workers to enhance their earnings by pooling and analyzing data.,New Frontiers,Unknown,"2140 North Prospect Avenue, Milwaukee, WI 53202, United States of America"
Global Alliance for Improved Nutrition 2021,1000000.0,2021-10-01,2024-09-30,in support of scaling up efforts to measure diet quality and expand the global Food Systems Dashboard to generate and visualize the data needed for national decision-making and global monitoring of improved nutrition.,Food Initiative,Unknown,"Rue de Varembé 7, Geneva,  CH-1202, Switzerland"
EAT Foundation 2021,300000.0,2021-10-01,2023-02-28,in support of conducting a political feasibility analysis and policy bootcamps for coalitions of food systems changemakers.,Food Initiative,Unknown,"Radhusgata 23, Oslo,  0158, Norway"
AIDS Vaccine Advocacy Coalition 2021,1500000.0,2021-10-01,2023-12-31,in support of building capacity among journalists in Southern and Eastern Africa to ensure more accurate and evidenced-based coverage about Covid-19 vaccines,CPA Central Office,Unknown,"423 West 127th Street, 4th Floor, New York, NY 10027, United States of America"
University of Louisville Research Foundation 2021,500000.0,2021-10-01,2023-06-30,in support of implementing complementary wastewater and clinical case genomic surveillance in a way that can become part of Kentucky’s approach to eradicating COVID-19 infections,Pandemic Prevention Institute,Unknown,"Office of Sponsored Programs, 300 E. Market Street, Suite 300, J.D. Nichols Campus, Louisville, KY 40202, United States of America"
World Economic Forum 2021,450000.0,2021-10-01,2022-05-31,in support of a feasibility assessment for a vaccine surveillance trial with a federated data architecture to inform public health responses to the current pandemic,Pandemic Prevention Institute,Unknown,"91-93 Route de la Capite, Cologny, Geneva,  CH-1223, Switzerland"
Mahidol University 2021,1200000.0,2021-10-01,2025-10-31,"in support of strengthening the scientific workforce towards more timely, representative and reliable genomic surveillance in South East Asia in order to provide actionable data that will allow health officials to control Covid-19",Pandemic Prevention Institute,Unknown,"999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom,  73170, Thailand"
Meridian Institute 2021,1000000.0,2021-10-01,2024-09-30,"for use by its project the Lacuna Fund, in support of developing labeled infrastructure datasets to fuel research that can improve energy planning in Africa and Asia",Power and Climate,Unknown,"PO Box 1829, 105 Village Place, Dillon, CO 80435, United States of America"
The Clara Lionel Foundation 2021,500000.0,2021-10-01,2024-03-31,"toward the costs of its Climate Resilience Initiative including emergency response efforts and longer-term recovery projects, in Haiti",Strategic Opportunities Fund,Unknown,"℅ FFO, 545 Fifth Avenue, Suite 1100, New York, NY 10017, United States of America"
Eastern Congo Initiative 2021,500000.0,2021-10-01,2023-12-31,"in support of expanding the Asili platform, an integrated, scalable delivery solution, to create a clean energy service in Congo",Strategic Opportunities Fund,Unknown,"615 1st Avenue, Suite 500, Minneapolis, MN 55413, United States of America"
Houston Health Foundation 2021,500000.0,2021-10-01,2022-09-30,in support of wastewater surveillance best practices in K-12 schools to better inform medical and public health counter measures,Health Initiative,Unknown,"PO Box 20272, Houston, TX 77225, United States of America"
Odyssey Energy Solutions 2021,1600000.0,2021-10-01,2026-10-31,in support of a project to reduce the cost of distributed renewable energy in sub-Saharan Africa,GEAPP,Unknown,"1519 Pine St., Unit 1, Boulder, CO 80302, United States of America"
"All On Partnerships for Energy Access, Limited by Guarantee 2021",5000000.0,2021-10-01,2026-10-31,toward the costs of launching an equipment finance facility as part of the Demand Aggregation for Renewable Technologies (DART) pilot in Nigeria,GEAPP,Unknown,"44 Bourdillon Road, Ikoyi, Lagos,, Nigeria"
The Microbiota Vault 2021,200000.0,2021-10-01,2024-06-30,"in support of developing a comprehensive catalog of the world's microbiomes, including from fermented foods, in coordination with the Periodic Table of Food Initiative",Food Initiative,Unknown,"542 Locust Point Rd, Rumson, NJ 07760, United States of America"
Human Age Digital LLC 2021,300000.0,2021-10-01,2022-03-31,"in to support of a bilingual digital advertising campaign in Harris County, Texas that is designed to support the work of increasing vaccination rates of BIPOC individuals ",U.S. Economic Opportunity,Unknown,"2700 Post Oak Boulevard, Floor 21, Houston, TX 77047, United States of America"
National Immigration Law Center 2021,1000000.0,2021-10-01,2022-09-30,Toward the cost of the Protecting Immigrant Families Campaign which works to protect immigrants' rights and ensure they can access benefits they're entitled to.,U.S. Economic Opportunity,Unknown,"3450 Wilshire Boulevard, #108-62, Los Angeles, CA 90010, United States of America"
"RESULTS Educational Fund, Inc. 2021",2000000.0,2021-10-01,2024-10-31,in general support of its mission to generate the political will to end poverty,U.S. Economic Opportunity,Unknown,"1101 15th St. NW, Suite 1200, Washington, DC 20005, United States of America"
MomsRising Education Fund 2021,1500000.0,2021-10-01,2024-09-30,"in general support of its mission to educate and engage people about the importance of advancing family economic security, ending discrimination, and building a nation where everyone can thrive",U.S. Economic Opportunity,Unknown,"12011 Bel-Red Road, Suite 100B, Bellevue, WA 98005, United States of America"
Center on Budget and Policy Priorities 2021,5000000.0,2021-10-01,2024-09-30,to provide general support for the grantee's charitable mission.,U.S. Economic Opportunity,Unknown,"1275 First Street NE, Suite 1200, Washington, DC 20002, United States of America"
Asian Venture Philanthropy Network Limited 2021,350000.0,2021-10-01,2023-06-29,in support of convening and catalyzing Asian leaders in the Global South to create a common vision for equitable recovery from the Covid-19 pandemic and for meeting Sustainable Development Goal (SDG) targets,Asia Regional Office,Unknown,"171 Tras Street, #10-179 Union Building, Singapore,  068805, Singapore"
"Arizona Community Foundation, Inc. 2021",500000.0,2021-09-15,2022-06-30,to support its EITC Funders Network project towards the cost of leveraging community foundations in hyper-localized CTC outreach for non-filers,U.S. Economic Opportunity,Unknown,"2201 E. Camelback Road, Suite 405B, Phoenix, AZ 85016, United States of America"
University of Toronto 2021,350000.0,2021-09-01,2023-09-30,for use by its Schwartz Reisman Institute for Technology and Society in support of ongoing efforts to determine how to construct systems for Artificial Intelligence governance.,New Frontiers,Unknown,"27 King's College Circle, Toronto, ON M5S 1A1, Canada"
Community Solutions 2021,75000.0,2021-09-01,2022-08-31,toward the costs of launching a survey to explore mayoral views on homelessness in order to help engage local elected officials in being accountable for reducing population-level and veteran homelessness.,Innovation,Unknown,"P.O. Box 3524, Church Street Station, New York, NY 10008, United States of America"
Heluna Health 2021,495000.0,2021-09-01,2022-09-30,"in support of monitoring shared variation in genomes of SARS-CoV-2 among persons with COVID-19, with and without prior COVID-19 vaccination in Northern California",Pandemic Prevention Institute,Unknown,"13300 Crossroads, Parkway North, Suite 450, City of Industry, CA 91746, United States of America"
"University of Massachusetts, Amherst 2021",5513666.0,2021-09-01,2025-08-31,"in support of developing analytical methods to identify conditions that amplify the positive impact of energy access and consumption and, ultimately, reduce energy poverty.",Power and Climate,Unknown,"Office of Grant and Contract Administration, 100 Venture Way, Suite 201, Hadley, MA 01035-6450, United States of America"
Global Resilient Cities Network 2021,2300000.0,2021-09-01,2023-08-31,"in support of its Green & Equitable Recovery Program, an effort to deliver critical energy solutions to urban poor and vulnerable communities in Africa and Latin America",GEAPP,Unknown,"28 Liberty Street, 34th Floor, New York, NY 10005, United States of America"
International Rescue Committee 2021,1500000.0,2021-09-01,2022-03-31,in support of efforts to resettle Afghan Special Immigrants in the United States and third countries,Strategic Opportunities Fund,Unknown,"122 East 42nd Street, New York, NY 10168-1289, United States of America"
